Region,is24Hours,carParkCount,hasCarparkCost,invHourLim,hasTouristAttraction,currentType,numberOfConnectors,hasChargingCost
Canterbury,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Canterbury,FALSE,1,FALSE,0,FALSE,AC,4,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,Mixed,4,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,4,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,Mixed,4,TRUE
Canterbury,FALSE,1,TRUE,0,FALSE,AC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,TRUE,0,FALSE,AC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,Mixed,6,TRUE
Canterbury,TRUE,1,TRUE,0,FALSE,AC,2,TRUE
Canterbury,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,Mixed,4,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,TRUE,0,FALSE,DC,2,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
